date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:23:36	68351/68351	---MCZ	200	added ('OK')	text/html	etag:W/%226683af00-10aff%22	https://uxliner.com/maxhost/demo/index.html	C:/Ridhwan%20Ahsan/html-website/html%20web/uxliner.com/maxhost/demo/index.html	(from )
20:23:37	50/50	---MCZ	200	added ('OK')	text/plain	date:Fri,%2012%20Jul%202024%2014:23:37%20GMT	https://uxliner.com/robots.txt		(from )
20:23:37	1487/1487	---M--	200	added ('OK')	image/png	etag:%226683af00-5cf%22	https://uxliner.com/maxhost/demo/images/favicon-16x16.png	C:/Ridhwan%20Ahsan/html-website/html%20web/uxliner.com/maxhost/demo/images/favicon-16x16.png	(from https://uxliner.com/maxhost/demo/index.html)
20:23:37	121262/121262	---MCZ	200	added ('OK')	text/css	etag:W/%226683af00-1d9ae%22	https://uxliner.com/maxhost/demo/css/bootstrap.min.css	C:/Ridhwan%20Ahsan/html-website/html%20web/uxliner.com/maxhost/demo/css/bootstrap.min.css	(from https://uxliner.com/maxhost/demo/index.html)
20:23:37	62946/62946	---MCZ	200	added ('OK')	text/css	etag:W/%226683af00-f5e2%22	https://uxliner.com/maxhost/demo/css/style.css	C:/Ridhwan%20Ahsan/html-website/html%20web/uxliner.com/maxhost/demo/css/style.css	(from https://uxliner.com/maxhost/demo/index.html)
20:23:37	4687/4687	---MCZ	200	added ('OK')	text/css	etag:W/%226683af00-124f%22	https://uxliner.com/maxhost/demo/css/reset.css	C:/Ridhwan%20Ahsan/html-website/html%20web/uxliner.com/maxhost/demo/css/reset.css	(from https://uxliner.com/maxhost/demo/index.html)
20:23:38	24711/24711	---MCZ	200	added ('OK')	text/css	etag:W/%226683af00-6087%22	https://uxliner.com/maxhost/demo/css/font-awesome/css/font-awesome.min.css	C:/Ridhwan%20Ahsan/html-website/html%20web/uxliner.com/maxhost/demo/css/font-awesome/css/font-awesome.min.css	(from https://uxliner.com/maxhost/demo/index.html)
20:23:38	11047/11047	---MCZ	200	added ('OK')	text/css	etag:W/%226683af00-2b27%22	https://uxliner.com/maxhost/demo/css/Simple-Line-Icons-Webfont/simple-line-icons.css	C:/Ridhwan%20Ahsan/html-website/html%20web/uxliner.com/maxhost/demo/css/Simple-Line-Icons-Webfont/simple-line-icons.css	(from https://uxliner.com/maxhost/demo/index.html)
20:23:38	7052/7052	---MCZ	200	added ('OK')	text/css	etag:W/%226683af00-1b8c%22	https://uxliner.com/maxhost/demo/css/et-line-font/et-line-font.css	C:/Ridhwan%20Ahsan/html-website/html%20web/uxliner.com/maxhost/demo/css/et-line-font/et-line-font.css	(from https://uxliner.com/maxhost/demo/index.html)
20:23:38	13924/13924	---MCZ	200	added ('OK')	text/css	etag:W/%226683af00-3664%22	https://uxliner.com/maxhost/demo/css/responsive-leyouts.css	C:/Ridhwan%20Ahsan/html-website/html%20web/uxliner.com/maxhost/demo/css/responsive-leyouts.css	(from https://uxliner.com/maxhost/demo/index.html)
20:23:39	13725/13725	---MCZ	200	added ('OK')	text/css	etag:W/%226683af00-359d%22	https://uxliner.com/maxhost/demo/js/mainmenu/menu.css	C:/Ridhwan%20Ahsan/html-website/html%20web/uxliner.com/maxhost/demo/js/mainmenu/menu.css	(from https://uxliner.com/maxhost/demo/index.html)
20:23:39	12278/12278	---MCZ	200	added ('OK')	text/css	etag:W/%226683af00-2ff6%22	https://uxliner.com/maxhost/demo/js/masterslider/style/masterslider.css	C:/Ridhwan%20Ahsan/html-website/html%20web/uxliner.com/maxhost/demo/js/masterslider/style/masterslider.css	(from https://uxliner.com/maxhost/demo/index.html)
20:23:39	5714/5714	---MCZ	200	added ('OK')	text/css	etag:W/%226683af00-1652%22	https://uxliner.com/maxhost/demo/js/masterslider/skins/default/style.css	C:/Ridhwan%20Ahsan/html-website/html%20web/uxliner.com/maxhost/demo/js/masterslider/skins/default/style.css	(from https://uxliner.com/maxhost/demo/index.html)
20:23:39	6272/6272	---MCZ	200	added ('OK')	text/css	etag:W/%226683af00-1880%22	https://uxliner.com/maxhost/demo/js/masterslider/style/style.css	C:/Ridhwan%20Ahsan/html-website/html%20web/uxliner.com/maxhost/demo/js/masterslider/style/style.css	(from https://uxliner.com/maxhost/demo/index.html)
20:23:39	87606/87606	---MCZ	200	added ('OK')	text/css	etag:W/%226683af00-15636%22	https://uxliner.com/maxhost/demo/js/animations/css/animations.min.css	C:/Ridhwan%20Ahsan/html-website/html%20web/uxliner.com/maxhost/demo/js/animations/css/animations.min.css	(from https://uxliner.com/maxhost/demo/index.html)
